Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale,power_voltage_in_volts,power_current_in_amps,Total_power,TP_round,EC
972,2200,693,0,0,0,0,1146,0,4211,4825,5,5,2419,490,2000,1,0,0,72,0,0,0,0,0,0,0,0,0,0,0,45,41,44,46,49,21,20,45,23,27,0,0,11190,777,0,628,56,684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,4.211,1.146,4.825806,4.83,4.6
1972,2200,693,0,0,0,0,1088,0,4211,4581,5,5,2419,490,2000,1,0,0,72,0,0,0,0,0,0,0,0,0,0,0,45,41,44,46,49,21,20,45,23,27,0,0,11190,777,0,628,56,684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,4.211,1.088,4.581568000000001,4.58,4.37
2972,2200,693,0,0,0,0,935,0,4211,3937,5,5,2419,490,2000,1,0,0,72,0,0,0,0,0,0,0,0,0,0,0,45,41,44,46,49,21,20,45,23,27,0,0,11190,777,0,628,56,684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,4.211,0.935,3.9372850000000006,3.94,3.76
3973,2200,693,0,0,0,0,931,0,4211,3920,5,5,2419,490,2000,1,0,0,72,0,0,0,0,0,0,0,0,0,0,0,45,41,44,46,49,21,20,45,23,27,0,0,11190,777,0,628,56,684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,4.211,0.931,3.9204410000000003,3.92,3.74
4973,2200,693,0,0,0,0,1500,0,4159,7037,5,5,2419,490,2000,1,0,0,72,0,0,0,0,0,0,0,0,0,0,0,45,41,44,46,49,21,20,45,23,27,0,0,11190,777,0,628,56,684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.159,1.5,6.2385,6.24,5.95
5973,2200,693,97,27,9999,0,1496,0,4159,6221,4,4,1862,525,2000,0,1,1,72,0,2,0,73,0,0,0,0,0,3494,0,66,33,44,39,45,54,44,66,27,35,0,0,11190,777,0,628,56,684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.159,1.496,6.221864,6.22,5.94
6973,2200,693,97,27,9999,0,1144,0,4159,4757,4,4,1862,525,2000,1,1,57,72,47,0,63,9,16,0,1440,1584,0,3462,0,68,23,40,27,47,52,61,68,33,35,0,0,11190,777,0,628,56,684,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,100,4.159,1.144,4.757896,4.76,4.54
7974,2200,693,97,27,9999,0,1128,0,4159,4691,4,4,1862,525,2000,1,1,57,72,48,0,63,9,16,0,1440,1584,0,3462,0,68,23,40,27,47,52,61,68,33,35,0,0,11190,777,0,628,56,684,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,100,4.159,1.128,4.691351999999999,4.69,4.48
9003,2200,693,97,27,9999,0,903,0,4159,3755,4,4,1862,525,2000,1,1,57,72,47,0,63,9,16,0,1440,1584,0,3462,0,68,23,40,27,47,52,61,68,33,35,0,0,11190,777,0,628,56,684,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,4.159,0.903,3.7555769999999997,3.76,3.58
10057,2200,693,97,27,9999,0,1485,0,4159,6176,4,4,1862,525,2000,1,1,57,72,48,0,63,9,16,0,1440,1584,0,3462,0,68,23,40,27,47,52,61,68,33,35,0,0,11190,777,0,628,56,684,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,100,4.159,1.485,6.176115,6.18,5.89
11052,2200,693,97,27,9999,0,1224,0,4159,5090,4,4,1862,525,2000,1,1,57,72,48,0,63,9,16,0,1440,1584,0,3462,0,68,23,40,27,47,52,61,68,33,35,0,0,11190,777,0,628,56,684,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,100,4.159,1.224,5.090616,5.09,4.86
12089,2200,693,97,27,9999,0,1008,0,4159,4192,4,4,1862,525,2000,1,1,57,72,47,0,63,9,16,0,1440,1584,0,3462,0,68,23,40,27,47,52,61,68,33,35,0,0,11190,777,0,628,56,684,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,100,4.159,1.008,4.192272,4.19,4.0
13136,2200,693,97,27,9999,0,1049,0,4159,4362,4,4,1862,525,2000,1,1,57,72,47,0,63,9,16,0,1440,1584,0,3462,0,68,23,40,27,47,52,61,68,33,35,0,0,11190,777,0,628,56,684,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,100,4.159,1.049,4.362791,4.36,4.16
14165,2200,693,97,27,9999,0,1217,0,4159,5061,4,4,1862,525,2000,1,1,57,72,47,0,63,9,16,0,1440,1584,0,3462,0,68,23,40,27,47,52,61,68,33,35,0,0,11190,777,0,628,56,684,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,100,4.159,1.217,5.061503,5.06,4.83
15207,2200,693,97,27,9999,0,1156,0,4206,4862,4,4,1862,525,2000,1,1,57,72,47,0,63,9,16,0,1440,1584,0,3462,0,68,23,40,27,47,52,61,68,33,35,0,0,11190,777,0,628,56,684,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,100,4.206,1.156,4.8621360000000005,4.86,4.64
16246,2200,693,97,27,9999,0,1166,0,4206,4904,4,4,1862,525,2000,1,1,57,72,48,0,63,9,16,0,1440,1584,0,3462,0,68,23,40,27,47,52,61,68,33,35,0,0,11190,777,0,628,56,684,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,100,4.206,1.166,4.904196,4.9,4.68
17281,2200,693,97,27,9999,0,1091,0,4206,4588,4,4,1862,525,2000,1,1,57,72,47,0,63,9,16,0,1440,1584,0,3462,0,68,23,40,27,47,52,61,68,33,35,0,0,11190,777,0,628,56,684,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,100,4.206,1.091,4.588746,4.59,4.38
18321,2200,693,97,27,9999,0,1215,0,4206,5110,4,4,1862,525,2000,1,1,57,72,47,0,63,9,16,0,1440,1584,0,3462,0,68,23,40,27,47,52,61,68,33,35,0,0,11190,777,0,628,56,684,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,100,4.206,1.215,5.110290000000001,5.11,4.87
19362,2200,693,97,27,9999,0,1160,0,4206,4878,4,4,1862,525,2000,1,1,57,72,48,0,63,9,16,0,1440,1584,0,3462,0,68,23,40,27,47,52,61,68,33,35,0,0,11190,777,0,628,56,684,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,100,4.206,1.16,4.87896,4.88,4.65
