Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale,power_voltage_in_volts,power_current_in_amps,Total_power,TP_round,EC
978,2734,541,0,0,0,0,1500,0,3701,5669,4,3,710,490,1017,1,0,0,72,0,0,0,0,0,0,0,0,0,0,0,22,50,56,42,47,19,22,21,25,19,0,0,10839,621,0,467,65,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,3.701,1.5,5.5515,5.55,5.51
1978,2734,541,0,0,0,0,1500,0,3701,5925,4,3,710,490,1017,1,0,0,72,0,0,0,0,0,0,0,0,0,0,0,22,50,56,42,47,19,22,21,25,19,0,0,10839,621,0,467,65,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,3.701,1.5,5.5515,5.55,5.51
2978,2734,541,0,0,0,0,1325,0,3701,4903,4,3,710,490,1017,1,0,0,72,0,0,0,0,0,0,0,0,0,0,0,22,50,56,42,47,19,22,21,25,19,0,0,10839,621,0,467,65,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,3.701,1.325,4.903825,4.9,4.87
3978,2734,541,0,0,0,0,1353,0,3701,5007,4,3,710,490,1017,1,0,0,72,0,0,0,0,0,0,0,0,0,0,0,22,50,56,42,47,19,22,21,25,19,0,0,10839,621,0,467,65,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,3.701,1.353,5.007453,5.01,4.97
4979,2734,541,0,0,0,0,1318,0,3701,4877,4,3,710,490,1017,1,0,0,72,0,0,0,0,0,0,0,0,0,0,0,22,50,56,42,47,19,22,21,25,19,0,0,10839,621,0,467,65,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.701,1.318,4.877918,4.88,4.84
5979,2734,541,48,40,9999,0,1500,0,3724,5615,2,2,2419,441,1555,1,0,0,72,0,0,0,0,0,0,0,0,0,0,0,59,23,38,42,33,50,59,0,23,19,0,0,10839,621,0,467,65,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.724,1.5,5.586,5.59,5.55
6979,2734,541,48,40,9999,0,1500,0,3724,5816,2,2,2419,441,1555,1,0,0,72,0,0,0,0,0,0,0,0,0,0,0,59,23,38,42,33,50,59,0,23,19,0,0,10839,621,0,467,65,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.724,1.5,5.586,5.59,5.55
7979,2734,541,48,40,9999,0,1379,0,3724,5135,2,2,2419,441,1555,1,0,0,72,0,0,0,0,0,0,0,0,0,0,0,59,23,38,42,33,50,59,0,23,19,0,0,10839,621,0,467,65,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.724,1.379,5.135396,5.14,5.1
8979,2734,541,48,40,9999,0,1386,0,3724,5161,2,2,2419,441,1555,1,0,0,72,0,0,0,0,0,0,0,0,0,0,0,59,23,38,42,33,50,59,0,23,19,0,0,10839,621,0,467,65,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.724,1.386,5.161464,5.16,5.12
9980,2734,541,48,40,9999,0,1500,0,3724,7109,4,2,1862,441,2000,0,1,2,90,15,0,0,72,26,0,1440,1584,0,1946,318,100,42,47,47,41,64,73,100,30,50,0,0,10839,621,0,467,65,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,100,3.724,1.5,5.586,5.59,5.55
10979,2734,541,48,40,9999,0,1500,0,3724,6297,4,2,1862,441,2000,1,1,66,90,42,0,32,43,32,0,1440,1584,3306,1724,318,64,38,44,44,43,38,45,64,11,55,0,0,10839,621,0,467,65,532,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,100,3.724,1.5,5.586,5.59,5.55
11979,2734,541,48,40,9999,0,1500,0,3724,6222,4,2,1862,441,2000,1,1,88,90,43,0,72,15,18,0,1440,1584,3195,1730,327,52,47,38,35,33,35,41,52,15,50,0,0,10839,621,0,467,65,532,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,100,3.724,1.5,5.586,5.59,5.55
12980,2734,541,48,40,9999,0,1500,0,3724,6196,4,2,1478,441,2000,1,1,90,90,43,0,90,0,14,0,1440,1584,2865,1375,211,86,33,36,23,29,64,86,78,16,46,0,0,10839,621,0,467,65,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,100,3.724,1.5,5.586,5.59,5.55
13981,2734,541,48,40,9999,0,1500,0,3724,6118,4,2,1574,441,2000,1,1,85,90,43,0,89,0,18,0,1440,1584,3417,1705,322,64,44,38,36,26,27,42,64,27,48,0,0,10839,621,0,467,65,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,100,3.724,1.5,5.586,5.59,5.55
14980,2734,541,48,40,9999,0,1500,0,3724,5906,3,2,1478,441,2000,1,1,90,90,43,0,82,6,15,0,1440,1584,3343,1467,233,62,36,42,39,25,36,36,62,19,48,0,0,10839,621,0,467,65,532,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,100,3.724,1.5,5.586,5.59,5.55
15980,2734,541,48,41,9999,0,1500,0,3700,6112,4,2,1382,441,2000,1,1,88,90,44,0,90,0,63,0,1440,1584,4070,1711,314,60,47,55,50,44,29,52,60,21,54,0,0,10839,621,0,467,65,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,100,3.7,1.5,5.550000000000001,5.55,5.51
16980,2734,541,48,41,9999,0,1500,0,3700,6049,3,2,1478,441,2000,1,1,90,90,44,0,84,3,27,0,1440,1584,3815,1690,315,69,29,38,44,36,19,69,33,19,55,0,0,10839,621,0,467,65,532,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,100,3.7,1.5,5.550000000000001,5.55,5.51
17981,2734,541,48,41,9999,0,1500,0,3700,5860,2,2,1382,441,2000,1,1,90,90,43,0,90,0,20,0,1440,1584,3844,1676,320,69,33,44,38,52,33,35,69,15,54,0,0,10839,621,0,467,65,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,100,3.7,1.5,5.550000000000001,5.55,5.51
18980,2734,541,48,41,9999,0,1500,0,3700,6134,2,2,1171,441,2000,1,1,90,90,43,0,90,0,18,0,1440,1584,3568,1687,324,72,47,47,33,29,33,52,72,21,52,0,0,10839,621,0,467,65,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,100,3.7,1.5,5.550000000000001,5.55,5.51
20045,1280,2122,48,41,9999,0,1496,0,3700,5535,2,2,1171,441,2000,1,1,90,90,43,0,90,0,20,0,1440,1584,3448,1679,322,69,47,42,33,52,29,50,69,25,51,0,0,13630,2223,0,2018,85,2104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,100,3.7,1.496,5.535200000000001,5.54,5.5
20980,1280,2122,48,41,9999,0,1500,0,3700,5934,2,2,1171,441,2000,1,1,90,90,43,0,90,0,10,0,1440,1584,3575,1680,315,68,52,56,60,61,52,66,68,28,53,0,0,13630,2223,0,2018,85,2104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,100,3.7,1.5,5.550000000000001,5.55,5.51
21980,1280,2122,48,41,9999,0,1500,0,3700,5553,2,2,1171,441,2000,1,1,90,90,43,0,86,0,58,0,1440,1584,3599,1682,312,66,42,44,36,38,64,39,66,21,53,0,0,13630,2223,0,2018,85,2104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,100,3.7,1.5,5.550000000000001,5.55,5.51
22981,1280,2122,48,41,9999,0,1500,0,3700,5753,2,2,1171,441,2000,1,1,90,90,43,0,90,0,19,0,1440,1584,3542,1671,319,59,19,47,36,47,38,59,58,15,52,0,0,13630,2223,0,2018,85,2104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,100,3.7,1.5,5.550000000000001,5.55,5.51
