Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale,power_voltage_in_volts,power_current_in_amps,Total_power,TP_round,EC
950,2488,313,0,0,0,0,1120,0,3727,4174,4,4,710,525,1017,1,0,0,72,0,0,0,0,0,0,0,0,0,0,0,19,55,63,69,75,19,14,18,11,15,0,0,12132,401,0,219,73,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.727,1.12,4.17424,4.17,4.19
1949,2488,313,45,38,9999,0,1363,0,3727,5079,2,2,2419,441,2000,1,0,0,72,0,0,0,0,0,0,0,0,0,0,0,75,44,44,50,52,47,36,75,25,12,0,0,12132,401,0,219,73,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.727,1.363,5.0799009999999996,5.08,5.09
2949,2488,313,45,38,9999,0,1004,0,3727,3741,4,3,2419,441,2000,0,0,1,72,0,2,0,72,0,0,0,0,0,1483,0,66,83,85,95,89,55,66,50,57,16,0,0,12132,401,0,219,73,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.727,1.004,3.741908,3.74,3.75
3950,2488,313,45,38,9999,0,966,0,3727,3600,4,3,710,490,2000,0,0,68,72,36,2,1,36,0,0,1440,1584,951,941,0,38,39,27,45,57,38,36,30,38,15,0,0,12132,401,0,219,73,292,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,100,3.727,0.966,3.600282,3.6,3.61
4950,2488,313,45,38,9999,0,1027,0,3727,3827,4,3,710,490,1555,0,0,72,72,36,0,0,0,0,0,1440,1584,1108,673,0,33,30,26,36,38,33,28,27,29,14,0,0,12132,401,0,219,73,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,100,3.727,1.027,3.8276289999999995,3.83,3.84
5950,2488,313,45,38,9999,0,1019,0,3727,3797,4,3,710,490,1555,0,0,72,72,33,0,0,0,0,0,1440,1584,1131,1226,289,38,33,44,54,50,38,33,36,5,21,0,0,12132,401,0,219,73,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,289,100,3.727,1.019,3.7978129999999997,3.8,3.81
6950,2488,313,45,38,9999,0,1056,0,3727,3935,4,3,710,490,1555,0,0,72,72,33,1,0,0,0,0,1440,1584,1259,1236,289,39,47,44,47,54,39,22,35,0,20,0,0,12132,401,0,219,73,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,289,100,3.727,1.056,3.935712,3.94,3.95
7950,2488,313,45,38,9999,0,1022,0,3727,3808,4,3,710,490,1555,0,0,71,72,32,0,0,2,0,0,1440,1584,1162,1227,285,31,44,50,47,39,26,21,31,11,21,0,0,12132,401,0,219,73,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,100,3.727,1.022,3.8089939999999998,3.81,3.82
8951,2488,313,45,38,9999,0,1089,0,3727,4058,4,3,710,490,1555,0,0,72,72,30,0,0,0,0,0,1440,1584,1214,1244,292,44,39,36,38,52,42,44,30,22,22,0,0,12132,401,0,219,73,292,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,100,3.727,1.089,4.0587029999999995,4.06,4.07
9950,2488,313,45,38,9999,0,1428,0,3727,5322,4,3,710,490,1555,0,0,72,72,30,0,0,0,0,0,1440,1584,1085,1234,289,33,42,47,36,35,33,22,17,11,21,0,0,12132,401,0,219,73,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,100,3.727,1.428,5.322156,5.32,5.34
