Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale,power_voltage_in_volts,power_current_in_amps,Total_power,TP_round,EC
10982,2809,491,68,39,9999,0,928,0,3939,3655,4,4,710,525,1353,1,1,72,72,44,0,72,0,12,0,1440,1584,1326,652,0,28,11,25,11,11,5,18,28,27,15,0,0,44840,591,0,380,102,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.939,0.928,3.6553920000000004,3.66,4.14
11982,2809,491,68,39,9999,0,918,0,3939,3616,4,4,710,525,1353,1,1,72,72,44,0,72,0,12,0,1440,1584,1383,650,0,21,25,21,5,19,19,14,21,14,16,0,0,44840,591,0,380,102,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.939,0.918,3.6160020000000004,3.62,4.1
12982,2809,491,68,39,9999,0,923,0,3939,3635,4,4,710,525,1353,1,1,72,72,45,0,72,0,27,0,1440,1584,1227,659,0,23,15,28,19,21,14,23,14,10,15,0,0,44840,591,0,380,102,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.939,0.923,3.6356970000000004,3.64,4.12
13983,2809,491,68,39,9999,0,960,0,3937,3779,4,4,710,525,1353,1,1,72,72,44,0,72,0,65,0,1440,1584,1789,661,0,33,33,28,30,15,19,19,33,14,19,0,0,44840,591,0,380,102,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.937,0.96,3.7795199999999998,3.78,4.28
14983,2809,491,68,38,9999,0,944,0,3937,3716,4,4,710,525,1353,1,1,72,72,45,0,72,0,84,0,1440,1584,1867,657,0,27,17,35,23,35,27,10,19,27,20,0,0,44840,591,0,380,102,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.937,0.944,3.716528,3.72,4.21
15983,2809,491,68,38,9999,0,943,0,3937,3712,4,4,710,525,1353,1,1,72,72,44,0,72,0,45,0,1440,1584,1636,649,0,36,29,38,39,27,11,21,36,19,18,0,0,44840,591,0,380,102,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.937,0.943,3.7125909999999998,3.71,4.21
16983,2809,491,68,38,9999,0,933,0,3937,3673,4,4,710,525,1353,1,1,72,72,44,0,72,0,47,0,1440,1584,1613,648,0,22,28,23,36,16,14,22,15,15,17,0,0,44840,591,0,380,102,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.937,0.933,3.673221,3.67,4.16
17983,2809,491,68,38,9999,0,933,0,3937,3673,4,4,710,525,1353,1,1,72,72,44,0,72,0,186,0,1440,1584,1475,658,0,25,25,26,15,16,5,19,25,10,17,0,0,44840,591,0,380,102,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.937,0.933,3.673221,3.67,4.16
18983,2809,491,68,38,9999,0,932,0,3937,3669,4,4,710,525,1353,1,1,72,72,45,0,72,0,45,0,1440,1584,1466,659,0,28,31,31,16,38,19,16,28,5,16,0,0,44840,591,0,380,102,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.937,0.932,3.669284,3.67,4.16
20005,2662,659,68,38,9999,0,970,0,3937,3818,4,4,710,525,1353,1,1,72,72,45,0,72,0,82,0,1440,1584,1268,661,0,36,15,34,21,21,36,9,21,33,15,0,0,45180,768,0,541,107,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.937,0.97,3.8188899999999997,3.82,4.33
