Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale,power_voltage_in_volts,power_current_in_amps,Total_power,TP_round
980,1954,1259,30,45,9999,0,1312,0,3646,4783,4,3,2419,490,1555,0,0,60,90,35,0,13,36,0,0,1440,1584,1524,666,0,85,27,22,29,17,0,5,85,31,9,0,0,13211,1375,0,1188,55,1244,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,100,3.646,1.312,4.783552,4.78
1980,1954,1259,30,45,9999,0,1500,0,3646,7500,4,3,2419,490,1353,0,0,31,90,63,0,33,76,0,0,1440,1584,0,655,0,100,7,19,41,36,100,100,100,22,13,0,0,13211,1375,0,1188,55,1244,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,100,3.646,1.5,5.468999999999999,5.47
2980,1954,1259,30,45,9999,0,1500,0,3646,7500,4,3,2419,490,2000,0,0,90,90,49,0,148,10,0,0,1440,1584,1128,660,0,80,33,40,19,33,80,76,76,27,11,0,0,13211,1375,0,1188,55,1244,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,100,3.646,1.5,5.468999999999999,5.47
3981,1954,1259,30,45,9999,0,1500,0,3646,7175,4,3,2419,490,2000,0,0,82,90,50,0,162,8,0,0,1440,1584,524,652,0,89,29,36,39,47,80,64,89,62,13,0,0,13211,1375,0,1188,55,1244,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,100,3.646,1.5,5.468999999999999,5.47
4981,1954,1259,30,45,9999,0,1483,0,3596,5332,4,3,2419,490,2000,0,0,90,90,50,0,178,0,0,0,1440,1584,674,645,0,94,73,73,78,77,89,85,94,90,14,0,0,13211,1375,0,1188,55,1244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.596,1.483,5.332868,5.33
5981,1954,1259,29,45,9999,0,1088,0,3596,3912,4,3,2419,490,2000,0,0,57,90,49,0,130,20,0,0,1440,1584,805,858,0,40,54,25,35,33,40,26,19,43,19,0,0,13211,1375,0,1188,55,1244,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.596,1.088,3.9124480000000004,3.91
6981,1954,1259,29,45,9999,0,1127,0,3596,4052,4,3,940,490,2000,0,0,79,90,49,0,116,27,0,0,1440,1584,1099,873,0,31,17,26,6,26,30,22,31,28,20,0,0,13211,1375,0,1188,55,1244,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.596,1.127,4.052692,4.05
7981,1954,1259,29,45,9999,0,1015,0,3596,3649,4,3,710,490,1353,0,0,84,90,49,0,158,7,0,0,1440,1584,826,663,0,31,16,17,11,16,25,28,31,21,15,0,0,13211,1375,0,1188,55,1244,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.596,1.015,3.6499399999999995,3.65
8982,1954,1259,29,45,9999,0,1142,0,3596,4106,4,3,710,490,1353,0,0,89,90,44,0,158,0,0,0,1440,1584,865,665,0,30,11,5,21,16,14,23,30,25,15,0,0,13211,1375,0,1188,55,1244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.596,1.142,4.106631999999999,4.11
9982,1954,1259,29,45,9999,0,1045,0,3596,3757,4,3,710,490,1353,0,0,90,90,33,0,0,0,0,0,1440,1584,874,662,0,28,11,0,18,21,15,28,16,19,15,0,0,13211,1375,0,1188,55,1244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.596,1.045,3.7578199999999997,3.76
10982,1954,1259,29,45,9999,0,1094,0,3596,3934,4,3,710,490,1353,0,0,90,90,32,0,0,0,0,0,1440,1584,884,660,0,33,25,26,16,21,15,21,33,25,16,0,0,13211,1375,0,1188,55,1244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.596,1.094,3.9340240000000004,3.93
11982,1954,1259,29,45,9999,0,1034,0,3596,3718,4,3,710,490,1353,0,0,90,90,31,0,0,0,0,0,1440,1584,899,658,0,31,11,11,25,22,11,21,31,28,16,0,0,13211,1375,0,1188,55,1244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.596,1.034,3.718264,3.72
12982,1954,1259,29,45,9999,0,1020,0,3596,3667,4,3,710,490,1353,0,0,90,90,31,0,0,0,0,0,1440,1584,953,657,0,25,15,6,23,0,25,16,21,19,16,0,0,13211,1375,0,1188,55,1244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.596,1.02,3.66792,3.67
13982,1954,1259,29,45,9999,0,1067,0,3596,3836,4,3,710,490,1353,0,0,90,90,31,0,0,0,0,0,1440,1584,869,660,0,33,27,23,26,44,33,30,25,25,14,0,0,13211,1375,0,1188,55,1244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.596,1.067,3.836932,3.84
14982,1954,1259,29,45,9999,0,1108,0,3657,4051,4,3,710,490,1353,0,0,85,90,33,0,6,7,0,0,1440,1584,957,755,0,21,28,21,30,34,21,11,16,16,17,0,0,13211,1375,0,1188,55,1244,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.657,1.108,4.051956000000001,4.05
15982,1954,1259,29,45,9999,0,1105,0,3657,4040,4,3,710,490,1353,0,0,90,90,32,0,5,0,0,0,1440,1584,984,731,0,31,27,27,22,52,25,31,31,25,17,0,0,13211,1375,0,1188,55,1244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.657,1.105,4.040985,4.04
16982,1954,1259,29,45,9999,0,1103,0,3657,4033,4,3,710,490,1353,0,0,90,90,32,0,0,0,0,0,1440,1584,1043,745,0,38,17,31,22,36,30,38,23,25,18,0,0,13211,1375,0,1188,55,1244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.657,1.103,4.033671,4.03
17983,1954,1259,29,45,9999,0,1118,0,3657,4088,4,3,710,490,1804,0,0,90,90,32,0,0,0,0,0,1440,1584,1038,731,0,28,21,11,17,16,22,28,11,23,18,0,0,13211,1375,0,1188,55,1244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.657,1.118,4.088526000000001,4.09
18982,1954,1259,29,45,9999,0,1153,0,3657,4216,4,3,710,490,1804,0,0,90,90,32,0,0,1,0,0,1440,1584,1730,880,0,40,27,12,28,28,15,16,40,23,25,0,0,13211,1375,0,1188,55,1244,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.657,1.153,4.216521,4.22
20022,577,2818,29,45,9999,0,1228,0,3657,4490,4,3,825,490,768,0,0,90,90,33,0,0,1,0,0,1440,1584,2062,662,0,35,17,36,35,36,35,35,23,23,7,0,0,14614,2887,0,2754,53,2807,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.657,1.228,4.490796,4.49
20982,577,2818,29,45,9999,0,1311,0,3657,4794,4,3,825,490,768,0,0,90,90,33,0,0,1,0,0,1440,1584,2062,662,0,35,17,36,35,36,35,35,23,23,7,0,0,14614,2887,0,2754,53,2807,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.657,1.311,4.794327,4.79
