Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale,power_voltage_in_volts,power_current_in_amps,Total_power,TP_round
968,2159,789,27,40,9999,0,1500,0,3642,5605,4,3,710,490,1804,0,0,1,72,0,0,0,73,0,0,0,0,0,1821,288,41,42,47,23,39,21,26,41,21,46,0,0,12019,868,0,708,67,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,288,0,3.642,1.5,5.463,5.46
1968,2159,789,27,40,9999,0,1439,0,3642,5240,4,3,2419,490,2000,0,0,70,72,37,0,4,6,0,0,1440,1584,4193,1418,293,68,44,33,44,42,31,52,68,5,40,0,0,12019,868,0,708,67,776,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,293,100,3.642,1.439,5.240838,5.24
2969,2159,789,27,40,9999,0,1500,0,3642,7050,4,3,2419,490,2000,0,0,57,72,58,0,109,17,0,0,1440,1584,3543,1404,297,61,44,28,33,41,50,61,50,5,40,0,0,12019,868,0,708,67,776,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,100,3.642,1.5,5.463,5.46
3970,2159,789,27,40,9999,0,1336,0,3642,4865,4,3,710,490,1353,0,0,71,72,55,0,139,1,0,0,1440,1584,3927,1381,295,50,31,31,27,39,27,26,50,31,43,0,0,12019,868,0,708,67,776,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,100,3.642,1.336,4.865712,4.87
4969,2159,789,27,40,9999,0,1414,0,3642,5149,4,3,710,490,1353,0,0,72,72,55,0,144,0,0,0,1440,1584,4148,1372,305,33,35,27,33,29,22,33,29,19,43,0,0,12019,868,0,708,67,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,305,100,3.642,1.414,5.149787999999999,5.15
5969,2159,789,27,40,9999,0,1379,0,3642,5022,4,3,710,490,1353,0,0,71,72,41,0,38,0,0,0,1440,1584,4074,1381,304,26,27,31,39,23,25,19,26,11,44,0,0,12019,868,0,708,67,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,100,3.642,1.379,5.022318,5.02
6969,2159,789,27,40,9999,0,1379,0,3621,4993,4,3,710,490,1353,0,0,73,72,38,0,68,0,0,0,1440,1584,4113,1375,305,28,35,38,26,35,28,19,25,19,44,0,0,12019,868,0,708,67,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,100,3.621,1.379,4.993359,4.99
7969,2159,789,27,40,9999,0,1323,0,3621,4790,4,3,710,490,1353,0,0,72,72,38,0,32,0,0,0,1440,1584,4094,1371,298,34,33,35,33,31,21,11,34,10,44,0,0,12019,868,0,708,67,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,100,3.621,1.323,4.790583,4.79
8969,2159,789,27,40,9999,0,1427,0,3621,5167,4,3,710,490,1353,0,0,72,72,37,0,5,0,0,0,1440,1584,4191,1361,298,28,38,35,28,25,25,19,28,10,44,0,0,12019,868,0,708,67,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,100,3.621,1.427,5.167167,5.17
9970,2159,789,27,40,9999,0,1343,0,3621,4863,4,3,710,490,1353,0,0,72,72,37,0,1,0,0,0,1440,1584,4214,1368,294,31,26,33,19,22,23,19,31,14,44,0,0,12019,868,0,708,67,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,100,3.621,1.343,4.863003,4.86
